ID,Geo Response,Is the bakery functional?,What is the price of a bag of bread (7-8 loaves)?,How would you describe the traffic at this bakery?,Does it look like the bakery has been damaged in the past 2 weeks?,Have you seen people being turned away from the bakery/has the bakery run out of bread in the past 2 weeks?
None,POINT (37.1757817268372 36.2036808031078),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1713614463806 36.204996707393),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1663188934326 36.1966074385594),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1667051315308 36.1955251660701),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1625745296478 36.2109353159727),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1621882915497 36.2067064841896),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1610885858536 36.2046201186237),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1774446964264 36.2374587716749),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1589481830597 36.2279002858189),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1578323841095 36.2300812292971),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1364605426788 36.171464551499),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1400600671768 36.1764574010788),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1423882246017 36.1762928542976),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1416318416595 36.1767128809227),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1897184848785 36.2275800628064),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1803092956543 36.219980872553),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1754705905914 36.2226856803602),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1897292137146 36.2276016995378),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1959519386292 36.2156832815716),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1949702501297 36.2320976824423),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1711415052414 36.2335948436291),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1538412570953 36.2314572694817),Yes   ,70.0,Works with the Council   ,No   ,No   
None,POINT (37.1665120124817 36.2162891999331),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1659970283508 36.2084638360982),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1065431833267 36.1961615441059),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.0998752117157 36.2019666314528),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.1528917551041 36.2103250278495),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.1411544084549 36.2046028041539),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.1402102708816 36.2094074225645),Yes   ,20.0,Very busy   ,No   ,No   
None,POINT (37.175384759903 36.216146376742),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,No   
None,POINT (37.16403901577 36.2169124253522),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.1657770872116 36.2157914816232),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.1646183729172 36.2184877785816),Yes   ,20.0,Very busy   ,No   ,No   
None,POINT (37.1612924337387 36.215674625561),Yes   ,20.0,Very busy   ,No   ,No   
None,POINT (37.1556222438812 36.212281395645),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.1631914377213 36.213921763685),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.1614104509354 36.2131946390873),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.151437997818 36.2162156243824),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.1150028705597 36.1816361179108),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.1668928861618 36.205767193712),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1505904197693 36.214025638076),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.1512019634247 36.2146878340765),Yes   ,20.0,Somewhat busy   ,No   ,No   
None,POINT (37.1470123529434 36.1990966085107),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1556276082993 36.2065679720167),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1566843986511 36.2089010037195),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1579933166504 36.2104678616666),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1574461460114 36.2070484350669),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1595275402069 36.2081218914051),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1617484092712 36.2067151411923),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1645486354828 36.2076284495942),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1626389026642 36.2049187926239),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1654284000397 36.2045205603703),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1637868881226 36.1949364035532),Yes   ,70.0,Works with the Council   ,No   ,No   
None,POINT (37.1593129634857 36.1902607793376),Yes   ,70.0,Works with the Council   ,No   ,No   
None,POINT (37.1598440408707 36.1912651962321),Yes   ,70.0,Works with the Council   ,No   ,No   
None,POINT (37.1587550640106 36.1916808132477),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1515238285065 36.2018627410551),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1666246652603 36.1956680268957),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1662974357605 36.1966507291478),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1714097261429 36.2049923787968),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1757441759109 36.2036418450779),Yes   ,70.0,Works with the Council   ,No   ,No   
None,POINT (37.1734750270844 36.2031527037201),Yes   ,70.0,Works with the Council   ,No   ,No   
None,POINT (37.1732014417648 36.2019579739249),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1542918682098 36.2000532945159),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1550750732422 36.1965035410496),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1596938371658 36.1933519177322),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1603858470917 36.192308563933),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1603429317474 36.1930358825719),Yes   ,70.0,Works with the Council   ,No   ,No   
None,POINT (37.1669840812683 36.1943303198673),Yes   ,70.0,Works with the Council   ,No   ,No   
None,POINT (37.1699184179306 36.1982438061527),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.170358300209 36.2030747871154),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1751165390015 36.2041223260906),Yes   ,70.0,Works with the Council   ,No   ,No   
None,POINT (37.172691822052 36.1991095952768),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1768116950989 36.2002004759406),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1861404180527 36.2151942154718),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.2051465511322 36.2284541819881),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1977972984314 36.2158953535319),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1877980232239 36.2150643744008),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1717691421509 36.2296571617177),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1700954437256 36.227523807277),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1685612201691 36.2295749442678),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1753633022308 36.2327207819103),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1771657466888 36.2323702890705),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1232211589813 36.2263727237117),Yes   ,15.0,Very busy   ,No   ,No   
None,POINT (37.1454620361328 36.2239493345123),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1429836750031 36.2254726164887),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1142679452896 36.2280084689727),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1365892887115 36.2177174175042),Yes   ,15.0,Very busy   ,No   ,No   
None,POINT (37.1286499500275 36.2243517954182),Yes   ,15.0,Very busy   ,No   ,No   
None,POINT (37.1452796459198 36.2161377207826),Yes   ,15.0,Very busy   ,No   ,No   
None,POINT (37.1401888132095 36.2094853328652),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1330541372299 36.2241310913069),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1186399459839 36.2146618657114),Yes   ,15.0,Very busy   ,No   ,No   
None,POINT (37.109831571579 36.2151942154718),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1236395835876 36.2185440406102),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1487236022949 36.1905465199377),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1640658378601 36.1858100184353),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1768546104431 36.1893775745276),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1750736236572 36.1883558153599),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1731424331665 36.1877669989377),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1908450126648 36.1953520010835),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1827125549316 36.1952134688185),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1835815906525 36.1984775701598),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1769618988037 36.2000619522544),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1827232837677 36.2015424114609),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1810603141785 36.2008757754004),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1786463260651 36.2016376447204),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1763074398041 36.208450850884),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1785175800323 36.2100783142785),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1830987930298 36.2082690576587),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.2051304578781 36.2111647138238),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.2029632329941 36.208537418938),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.192690372467 36.2094550344242),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1907806396484 36.2082344303298),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1494746208191 36.1913864180895),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1487021446228 36.1885376548309),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1519637107849 36.1859052708308),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1565771102905 36.1847102778442),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1596992015839 36.1845284294871),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1875834465027 36.1954905331034),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1835601329803 36.2031180741276),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1841663122177 36.2009536941939),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.181875705719 36.1998108774485),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1717691421509 36.2050746220846),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1755993366241 36.2079747248748),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1798264980316 36.2112382941241),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1823048591614 36.2080266660348),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1950614452362 36.209887868183),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1338051557541 36.2380731748867),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.187642455101 36.2155534413122),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1616947650909 36.2119048419279),Yes   ,15.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.198634147644 36.2231054581478),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1601712703705 36.2032825645556),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1912097930908 36.2077756167757),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.18998670578 36.2082863713174),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1850407123566 36.2088490631399),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1886563301086 36.2098792115313),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1575963497162 36.2099311514273),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1407252550125 36.1762105807774),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1185970306396 36.1918366690599),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1163761615753 36.1909621407676),Yes   ,20.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1964454650879 36.2010489281697),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1994924545288 36.20326524979),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1946001052856 36.2066415566391),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1598225831985 36.2307129991808),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1571457386017 36.230055266042),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1587336063385 36.2280127962958),"No, it appears closed   ",0.0,Very busy   ,No   ,Yes   
None,POINT (37.1793061494827 36.238592385104),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1796494722366 36.2332573358066),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1325981616974 36.2341919692847),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1913385391235 36.2155707533592),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1736145019531 36.229977376225),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1205067634583 36.1768904172728),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.171795964241 36.2301071925436),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1721875667572 36.2313880353339),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1722143888474 36.2316606444362),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1664583683014 36.2327727066418),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1707874536514 36.2280344329074),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1699613332748 36.2277618111636),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.175567150116 36.2284888003684),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1360635757446 36.2353775530845),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1878033876419 36.2178515820575),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.2023195028305 36.2185916469105),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1603107452393 36.2294321453335),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1621668338776 36.2283676359703),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1630036830902 36.2295230174128),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1211183071136 36.1812680765931),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1325820684433 36.1820994145229),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1510410308838 36.1833940325857),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1420019865036 36.1812853962233),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1239775419235 36.1895550821764),Yes   ,20.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1326732635498 36.1874119751322),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1425008773804 36.1921483797536),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1442013978958 36.1932610036387),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.152886390686 36.1595159297137),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1565878391266 36.157792128986),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1279847621918 36.1929536266361),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1241867542267 36.1849527416636),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1231353282928 36.1791983532162),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1245837211609 36.1815798293507),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1245408058167 36.1738852355609),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.129465341568 36.1740324661684),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1317559480667 36.1799994032687),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1299427747726 36.1815884891318),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1326035261154 36.1808134349311),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1568989753723 36.1847838830116),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1537446975708 36.1802505415987),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1549570560455 36.1831602235488),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1613138914108 36.2103077146418),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1657609939575 36.2158174496133),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.136482000351 36.1714688819487),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1360367536545 36.2353688992533),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1897184848785 36.2275887174997),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1959465742111 36.2156832815716),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1949595212936 36.2321106637319),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1538734436035 36.2314226524155),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1571886539459 36.2300379572005),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1603214740753 36.2294451270656),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1621775627136 36.2283503267552),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.162971496582 36.2295446536065),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1578216552734 36.2300812292971),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1589803695679 36.2278656671781),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1338105201721 36.2380775016528),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1325713396072 36.2341789883406),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.2021961212158 36.2185700076867),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1711254119873 36.233573208556),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1598225831985 36.2306913633103),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1587228775024 36.2279695230546),"No, it appears closed   ",0.0,Very busy   ,No   ,Yes   
None,POINT (37.1616840362549 36.2119048419279),Yes   ,15.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1610242128372 36.2046374330896),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1566736698151 36.2088880185778),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1556222438812 36.2064554306957),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1612924337387 36.2103077146418),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1598386764526 36.1912651962321),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1587443351746 36.1916634959161),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1550750732422 36.1964948829175),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1603536605835 36.1930488703434),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1662974357605 36.1966680453764),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1714150905609 36.2049880502003),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1757388114929 36.20365483109),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1734750270844 36.2031613611158),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1732068061829 36.2019449876313),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1601337194443 36.2032133054701),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1575963497162 36.2099311514273),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1579879522324 36.2104721899601),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1625852584839 36.2109309877049),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1574246883392 36.2070700774772),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.159548997879 36.2081392050964),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1617430448532 36.2067367836948),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1621990203857 36.2067108126911),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1645593643188 36.2076457633947),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1768867969513 36.2001138986654),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1423935890198 36.1762928542976),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1407037973404 36.1761889298367),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1185863018036 36.1917673998483),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1239721775055 36.1895853883202),Yes   ,20.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1425223350525 36.1921310625254),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.15287566185 36.1594899430495),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1280169487 36.192936309586),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1204960346222 36.1768990775723),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1245729923248 36.1815798293507),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1294546127319 36.1740497873982),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1325606107712 36.1820994145229),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1569097042084 36.1847882127252),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1549677848816 36.1831082658903),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1400547027588 36.1764487407305),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1416211128235 36.1767172110824),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1420288085938 36.1812810663161),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1163868904114 36.1910054344771),Yes   ,20.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1326625347137 36.1873859977174),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.144228219986 36.1932653328836),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1565985679626 36.1577834665751),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1241974830627 36.1849267634331),"No, it appears closed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1231031417847 36.1792026832386),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1211612224579 36.181272406501),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1245193481445 36.1738765749284),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1317291259766 36.1799647634359),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1299266815185 36.1815754994598),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1326196193695 36.1808134349311),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1537446975708 36.1802332217397),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1510410308838 36.1833853730042),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1494424343109 36.191360441993),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1519422531128 36.1859139301337),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.164044380188 36.1858273370613),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1750950813293 36.188373133423),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1909201145172 36.1953520010835),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1487021446228 36.1905205435626),Yes   ,0.0,Closed   ,No   ,Yes   
None,POINT (37.1487021446228 36.1885463138428),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1566200256348 36.1847189372793),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1596240997314 36.1845284294871),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1768116950989 36.1893602566867),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1731424331665 36.1877323625397),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1835601329803 36.2030488148966),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1827125549316 36.2015683841796),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1818971633911 36.1998541662656),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1810817718506 36.2008887618714),Yes   ,70.0,Works with the Council   ,No   ,Yes   
